toys,computer animation,pixar animation,kids and family,animation
comedy,original,happy ending,mentor,mob
sexual,pornography,sex,male nudity,weird
latin america,road trip,political,idealism,oscar (best foreign language film)
british comedy,zombies,comedy,splatter,dark humor
oscar (best actress),marriage,alcoholism,based on a play,drinking
murder mystery,adapted from:book,murder,detective,investigation
disability,touching,true story,based on true story,golden palm
music,good music,dance,oscar (best directing),musical
serial killer,police investigation,investigation,detective,murder
spying,spies,espionage,surveillance,mistaken identity
supernatural,horror,demons,creepy,weird
snakes,mad scientist,spiders,goofy,original
splatter,mutants,sequel,sequels,campy
sequel,splatter,sequels,mutants,original
shark,vengeance,revenge,animals,silly fun
alien,alien invasion,aliens,mars,paranoia
adapted from:book,loneliness,island,cerebral,based on a book
pornography,single father,runaway,innocence lost,prostitution
race issues,blaxploitation,workplace,social commentary,independent film
gothic,horror,creepy,witch,nocturnal
historical,history,us history,genocide,indians
cannibalism,controversial,splatter,brutality,sexualized violence
animation,fish,oscar (best animated feature),computer animation,shark
mentor,sacrifice,courage,action,gunfight
off-beat comedy,existentialism,original,weird,philosophical
teen movie,teenager,teen,music,chick flick
car chase,remake,comedy,chase,bad plot
family bonds,father son relationship,family drama,feel-good,family
complex,time loop,cerebral,complicated,intellectual
cross dressing,women,based on a play,costume drama,period piece
dancing,dance,romantic comedy,romantic,chick flick
satire,world politics,parody,hilarious,political
dysfunctional family,independent film,ensemble cast,humorous,good soundtrack
relationships,gay,sex,love story,original
oscar (best actress),drama,oscar (best directing),dramatic,oscar
oscar (best actress),based on a play,oscar (best cinematography),infidelity,depression
weird,surreal,allegory,enigmatic,bleak
literary adaptation,cinematography,amazing cinematography,adapted from:book,criterion
beatles,rock and roll,new jersey,affectionate,original
cars,chase,racing,road movie,original
vampires,vampire,humorous,goofy,cult classic
horses,based on a book,lions,indians,animals
original,artistic,cerebral,creativity,art
money,mentor,corporate america,original,kids and family
notable soundtrack,creepy,horror,cult classic,splatter
dialogue driven,intellectual,sexual,oscar (best foreign language film),relationships
cartoon,animation,animated,kids,original
christmas,holiday,product placement,divorce,children
football,sports,high school,race issues,texas
mother-son relationship,mental illness,schizophrenia,dysfunctional family,gay
future,memory,scifi,technology,sci-fi
based on a book,macabre,life & death,goth,death
mentor,good acting,oscar (best actress),dramatic,1930s
christmas,holiday,family,dysfunctional family,off-beat comedy
horror,ghosts,haunted house,scary,remake
remake,women,original,new york,nudity (topless)
midlife crisis,wine,road trip,relationships,drinking
psychological,mindfuck,dark,creepy,psychology
abortion,oscar (best actress),working class,secrets,social commentary
single father,independent film,cinematography,story,original
based on a book,obsession,psychology,psychological,original
horror,twist ending,serial killer,gory,splatter
biopic,biographical,oscar (best actor),musicians,oscar (best supporting actor)
obsession,melancholic,art house,psychological,weird
oscar (best animated feature),super hero,superheroes,pixar animation,superhero
surreal,weird,alternate reality,visually appealing,surrealism
obsession,opera,biopic,relationships,biographical
christmas,holiday,children,computer animation,based on a book
sexual,sexuality,male nudity,sex,pornography
horror,splatter,franchise,murder,original
heist,caper,entertaining,sexy,surveillance
girlie movie,sequel,chick flick,romantic comedy,romantic
imagination,children,peter pan,heartwarming,fantasy
indians,india,love story,bollywood,love
treasure hunt,treasure,adventure,action,conspiracy theory
almodovar,spanish,visually appealing,sexual abuse,spain
based on a tv show,cartoon,animation,goofy,kids and family
historical,epic,history,irish accent,big budget
christmas,holiday,family,silly fun,predictable
documentary,history,rebellion,political,greed
light,meditative,criterion,israel,independent film
relationships,love,complex,infidelity,obsession
based on a book,camp,mentor,adapted from:book,friendship
wuxia,martial arts,amazing photography,stunning,kung fu
heist,caper,con artists,sequel,robbery
vampires,vampire,based on a comic,action,fight scenes
hotel,goofy,silly fun,silly,slapstick
politics,political,documentary,president,world politics
goofy,comedy,silly fun,chase,original
broadway,musical,original,baseball,devil
hospital,chase,comedy,doctors,slapstick
slapstick,buddy movie,fun movie,hotel,egypt
dance,music,dancing,musical,nostalgic
musical,dance,dancing,original,music
musical,interracial romance,dancing,dance,1930s
wartime,chase,humor,survival,fun movie
history,historical,egypt,epic,great movie
robot,kids and family,scifi,robots,childhood
alien,aliens,alien invasion,first contact,police investigation
sequel,good sequel,sequels,murder,police investigation
love story,love,french,obsession,romantic
artist,artistic,art,nocturnal,fantasy
criterion,political,enigmatic,original,reflective
wartime,wwii,world war ii,women,sentimental
documentary,middle east,iraq war,iraq,journalism
silent,creepy,psychiatry,stop motion,criterion
jews,silent,criterion,german,judaism
indians,native americans,silent,literary adaptation,original
criterion,death,meditative,life & death,silent
criterion,silent,witch,devil,psychiatry
silent,adaptation,1920s,adapted from:book,costume drama
silent,talky,humorous,stylized,criterion
criterion,college,silent,original,comedy
greed,masterpiece,silent,long,obsession
silent,opera,classic,oscar (best directing),talky
silent,talky,new york,us history,afi 100 (movie quotes)
revolution,criterion,russia,silent,black and white
silent,macabre,love,suspense,obsession
criterion,silent,stylized,downbeat,sexual
silent,criterion,talky,original,classic
marriage,silent,tragedy,downbeat,intimate
silent,criterion,talky,breathtaking,loneliness
silent,classic,imdb top 250,father son relationship,masterpiece
surreal,surrealism,weird,dreams,dreamlike
gangster,organized crime,gangsters,mob,mafia
criterion,surrealism,surreal,weird,enigmatic
marx brothers,classic,hilarious,comedy,talky
criterion,affectionate,homeless,eccentricity,golden palm
creepy,horror,eccentricity,cult classic,cult film
organized crime,gangster,gangsters,dark hero,mob
oscar (best cinematography),train,criterion,enigmatic,talky
criterion,silent,japan,black and white,bleak
criterion,vampires,vampire,dreamlike,surreal
adultery,based on a play,1930s,hotel,talky
musical,broadway,depression,talky,affectionate
criterion,mad scientist,classic,horror,black and white
1930s,sexual,women,new york,new york city
island,stop motion,stranded,good sequel,dinosaurs
criterion,intimate,masterpiece,lyrical,black and white
creepy,ominous,macabre,eerie,horror
18th century,england,france,costume drama,period piece
betrayal,ireland,irish accent,irish,oscar (best directing)
small town,vigilantism,revenge,murder,mob
screwball comedy,marriage,comedy,divorce,screwball
small town,oscar (best directing),greed,eccentricity,lawyer
gangster,desert,talky,gangsters,character study
paris,romantic,talky,love,period piece
oscar (best directing),coming of age,oscar (best actor),mentor,adapted from:book
gangsters,gangster,kids and family,kids,1930s
new york,screwball comedy,screwball,new york city,1930s
swashbuckler,romance,black and white,classic,silent
oscar (best supporting actress),women,oscar (best directing),criterion,dramatic
screwball comedy,ghosts,mentor,based on a book,1930s
screwball comedy,holiday,romantic comedy,witty,based on a play
murder,based on a play,police investigation,psychological,marriage
gangster,gangsters,organized crime,prohibition,mob
oscar (best cinematography),adapted from:book,literary adaptation,based on a book,love story
adultery,murder,black and white,talky,oscar (best actress)
swashbuckler,sword fight,adventure,sword fighting,oscar (best directing)
screwball comedy,gangster,gangsters,screwball,mob
criterion,destiny,afterlife,murder,adultery
amnesia,memory,romantic,memory loss,love story
criterion,based on a play,adultery,marriage,infidelity
world war ii,wartime,wwii,germany,war
criterion,bleak,downbeat,masterpiece,witch
dancing,musical,dance,girlie movie,wartime
loneliness,imaginary friend,dark fantasy,creepy,original
shakespeare,criterion,wartime,literary adaptation,based on a play
espionage,spying,wartime,spy,criterion
screwball,screwball comedy,satirical,criterion,sweet
world war ii,oscar (best supporting actor),adultery,idealism,oscar (best actress)
noir thriller,suspense,great ending,murder,police investigation
criterion,masterpiece,black and white,russia,silent
world war ii,best war films,war,wwii,wartime
oscar (best supporting actor),family bonds,poverty,new york,oscar (best actress)
noir,film noir,murder mystery,murder,detective
literary adaptation,adapted from:book,criterion,imdb top 250,classic
unlikely friendships,rome,friendship,bleak,imdb top 250
noir thriller,nazis,nazi,world war ii,innocence lost
greed,film noir,noir,downbeat,manipulation
oscar (best editing),criterion,bleak,downbeat,tense
desert,gunfight,scenic,western,adoption
dancing,musical,dance,runaway,classic
indians,civil war,native americans,military,western
noir thriller,irish accent,visually appealing,film noir,noir
vienna,obsession,enigmatic,intimate,criterion
police investigation,oscar (best editing),criterion,detective,new york city
criterion,noir,film noir,crime,tense
swashbuckler,sword fight,literary adaptation,sword fighting,costume drama
criterion,screwball,masterpiece,bleak,private detective
musical,music,chase,original plot,original
marriage,oscar (best directing),relationships,infidelity,oscar (best actress)
death,criterion,surreal,life & death,meditative
broadway,musical,based on a play,original,great music
criterion,obsession,existentialism,incest,transgender
western,gunfight,vengeance,classic,small town
africa,adventure,lions,oscar (best cinematography),cinematography
golden palm,poverty,bleak,criterion,black and white
adultery,poverty,obsession,relationships,drinking
small town,talky,downbeat,adultery,based on a play
criterion,japan,downbeat,bleak,masterpiece
mad scientist,comedy,original,horror,classic
criterion,obsession,doctors,destiny,runaway
japan,criterion,samurai,japanese,trilogy
oscar (best directing),oscar (best actress),musical,long,original
motorcycle,gangs,world politics,california,rebellion
criterion,eccentricity,investigation,film noir,talky
holocaust,criterion,world war ii,nazi,black and white
criterion,japan,samurai,sword fight,sword fighting
finnish,war,war movie,best war films,based on a book
japan,criterion,oscar (best foreign language film),world war ii,wwii
musical,music,good music,family,broadway
japan,criterion,samurai,oscar (best foreign language film),trilogy
rock and roll,musicians,music,music business,awesome soundtrack
biographical,biopic,aviation,historical,oscar (best directing)
